,dataset_id,dataset_title,format,resource_id,resource_title,url
75,5a5f4f6c88ee387da4d252a3,Base des permis de construire (Sitadel) ,csv,9e2b15b4-f4e6-4f43-bcb0-918aa4299eb4,Données des permis de construire pour les locaux – 201902,https://www.statistiques.developpement-durable.gouv.fr/sites/default/files/2019-03/locaux-2019-02.csv
76,5a5f4f6c88ee387da4d252a3,Base des permis de construire (Sitadel) ,csv,bd8a482b-8025-4112-9bf7-6bbf3cc61228,Données des permis de construire pour les logements – 201902,https://www.statistiques.developpement-durable.gouv.fr/sites/default/files/2019-03/logements-2019-02.csv
77,5a5f4f6c88ee387da4d252a3,Base des permis de construire (Sitadel) ,csv,ad4a182a-8221-494d-a97d-4ea8fd411dc6,Données des permis de construire pour les logements - 201901,https://www.statistiques.developpement-durable.gouv.fr/sites/default/files/2019-02/logements-2019-01.csv
78,5a5f4f6c88ee387da4d252a3,Base des permis de construire (Sitadel) ,csv,0cdbcbf0-893b-438d-8c46-c9c79dd13aaf,Données des permis de construire pour les locaux - 201901,https://www.statistiques.developpement-durable.gouv.fr/sites/default/files/2019-02/locaux-2019-01.csv
79,5a5f4f6c88ee387da4d252a3,Base des permis de construire (Sitadel) ,csv,f6c8e5b3-762c-44aa-84bc-b3802df8c93f,Données des permis de construire pour les locaux - 201812,https://www.statistiques.developpement-durable.gouv.fr/sites/default/files/2019-01/locaux-2018-12.csv
81,5a5f4f6c88ee387da4d252a3,Base des permis de construire (Sitadel) ,csv,8868400a-666f-46a9-8188-267440e3a69d,Données des permis de construire pour les locaux - 201811,http://www.statistiques.developpement-durable.gouv.fr/sites/default/files/2018-12/locaux-2018-11.csv
82,5a5f4f6c88ee387da4d252a3,Base des permis de construire (Sitadel) ,csv,a05438f4-7048-4109-a81a-c85b051af248,Données des permis de construire pour les logements - 201811,https://www.statistiques.developpement-durable.gouv.fr/sites/default/files/2018-12/logements-2018-11.csv
83,5a5f4f6c88ee387da4d252a3,Base des permis de construire (Sitadel) ,csv,ac1fba3e-6494-4ee5-8f1e-8f5e6a196b9d,Données des permis de construire pour les logements - 201810,http://www.statistiques.developpement-durable.gouv.fr/sites/default/files/2018-11/logements-2018-10.csv
84,5a5f4f6c88ee387da4d252a3,Base des permis de construire (Sitadel) ,csv,06d87272-4878-486f-9cd6-fe4ceed23071,Données des permis de construire pour les locaux - 201810,http://www.statistiques.developpement-durable.gouv.fr/sites/default/files/2018-11/locaux-2018-10_0.csv
85,5a5f4f6c88ee387da4d252a3,Base des permis de construire (Sitadel) ,csv,ce5e05f1-6ea6-432d-899e-a166dc4d0e1d,Données des permis de construire pour les logements - 201809,http://www.statistiques.developpement-durable.gouv.fr/sites/default/files/2018-11/logements-2018-09.csv
86,5a5f4f6c88ee387da4d252a3,Base des permis de construire (Sitadel) ,csv,1aa6f046-5a99-425b-97c2-34748deb6012,Données des permis de construire pour les locaux - 201809,http://www.statistiques.developpement-durable.gouv.fr/sites/default/files/2018-11/locaux-2018-09_0.csv
87,5a5f4f6c88ee387da4d252a3,Base des permis de construire (Sitadel) ,csv,14491353-83c1-41ad-b3c7-0167326286e5,Données des permis de construire pour les logements - 201808,http://www.statistiques.developpement-durable.gouv.fr/sites/default/files/2018-11/logements-2018-08.csv
